user_id	item_id	rank	score
0	21	1	-1.8331524
0	167	2	-2.2446017
0	546	3	-2.5307553
0	377	4	-2.6398592
0	868	5	-2.6545353
0	3	6	-2.831253
0	669	7	-2.8510666
0	608	8	-2.9373093
0	198	9	-2.9828496
0	985	10	-3.013247
1	40	1	-0.55720997
1	980	2	-2.2426097
1	674	3	-2.8195486
1	774	4	-2.8203604
1	39	5	-2.8278139
1	682	6	-2.911405
1	75	7	-3.064953
1	597	8	-3.1555557
1	112	9	-3.1778543
1	941	10	-3.3192146
2	101	1	-1.5975242
2	377	2	-1.8544983
2	378	3	-1.997549
2	415	4	-2.6501098
2	954	5	-2.6729984
2	246	6	-2.7472608
2	621	7	-3.1209369
2	642	8	-3.2848625
2	669	9	-3.32796
2	558	10	-3.4977126
3	378	1	-1.3688116
3	415	2	-2.335215
3	941	3	-2.6939883
3	90	4	-2.7716591
3	621	5	-2.982696
3	74	6	-3.0273557
3	916	7	-3.158095
3	804	8	-3.1919978
3	303	9	-3.5101514
3	187	10	-3.534312
4	246	1	-1.325295
4	699	2	-1.7710519
4	558	3	-1.8283657
4	378	4	-2.0925562
4	621	5	-2.2866771
4	51	6	-2.8620899
4	597	7	-2.881578
4	431	8	-2.9120252
4	363	9	-2.968585
4	180	10	-3.03462
5	51	1	-2.136852
5	356	2	-2.1935813
5	17	3	-2.29501
5	246	4	-2.4236069
5	597	5	-2.5096717
5	415	6	-2.524963
5	40	7	-2.5562282
5	621	8	-2.6817272
5	378	9	-2.720472
5	864	10	-2.773078
6	51	1	-1.2418131
6	523	2	-2.4158037
6	555	3	-2.6496017
6	406	4	-2.9746482
6	371	5	-3.145341
6	953	6	-3.1992416
6	657	7	-3.3286548
6	67	8	-3.4178524
6	590	9	-3.5455766
6	436	10	-3.6052475
7	334	1	-1.4413967
7	180	2	-1.8499
7	431	3	-1.8661433
7	699	4	-2.0584393
7	39	5	-2.232477
7	954	6	-2.2890763
7	621	7	-2.2925873
7	590	8	-2.436422
7	976	9	-2.9470925
7	415	10	-2.9501045
8	40	1	-1.3856126
8	540	2	-1.4669024
8	431	3	-2.5738156
8	558	4	-2.670506
8	597	5	-2.7435389
8	555	6	-2.9792514
8	51	7	-3.1955898
8	941	8	-3.4301543
8	101	9	-3.4704447
8	804	10	-3.4713333
9	378	1	-1.2126663
9	334	2	-1.4708924
9	39	3	-1.7402544
9	676	4	-2.182719
9	674	5	-2.2437243
9	621	6	-2.304381
9	555	7	-2.3340533
9	164	8	-2.4352336
9	244	9	-2.6843088
9	363	10	-2.84861
10	40	1	-1.037859
10	980	2	-1.7256635
10	431	3	-2.4662833
10	356	4	-2.5083876
10	17	5	-2.5142071
10	164	6	-2.5787086
10	378	7	-2.7190819
10	954	8	-2.7354264
10	377	9	-2.8290882
10	367	10	-2.887418
11	624	1	-1.1160094
11	51	2	-1.2691275
11	287	3	-1.3737296
11	378	4	-1.7436545
11	406	5	-1.7552489
11	17	6	-1.9634782
11	69	7	-2.7634103
11	699	8	-2.7678962
11	76	9	-2.8406694
11	864	10	-2.8904655
12	17	1	-1.5550809
12	954	2	-2.0404189
12	699	3	-2.115484
12	334	4	-2.2962837
12	164	5	-2.8760834
12	676	6	-2.898216
12	246	7	-2.943706
12	40	8	-2.9981217
12	431	9	-3.5987406
12	39	10	-3.6041555
13	378	1	-0.8527502
13	40	2	-1.1044649
13	980	3	-1.8687297
13	246	4	-1.9843407
13	334	5	-2.0486097
13	431	6	-2.0652893
13	558	7	-2.1462774
13	947	8	-2.4891753
13	415	9	-2.5772772
13	674	10	-2.7634864
14	334	1	0.30322915
14	669	2	-0.5662074
14	674	3	-0.8712144
14	954	4	-1.8049984
14	431	5	-1.8998898
14	101	6	-1.9042888
14	39	7	-2.6263618
14	804	8	-2.7320023
14	676	9	-2.7563682
14	246	10	-3.0473776
15	558	1	-1.8363332
15	367	2	-2.5295835
15	695	3	-3.088669
15	941	4	-3.5068629
15	699	5	-3.6548347
15	555	6	-3.7621686
15	363	7	-3.8001528
15	431	8	-3.8109155
15	676	9	-3.9201066
15	90	10	-3.9983377
16	608	1	-0.73516554
16	246	2	-1.2099905
16	669	3	-1.6615036
16	431	4	-1.8347733
16	597	5	-1.8450807
16	540	6	-2.340674
16	2	7	-2.3822927
16	356	8	-2.4103618
16	558	9	-2.6960135
16	367	10	-2.7208903
17	597	1	-1.5828477
17	334	2	-1.6297158
17	378	3	-1.9128667
17	947	4	-2.0125823
17	558	5	-2.1327171
17	699	6	-2.3510509
17	17	7	-2.4332676
17	540	8	-2.9329033
17	415	9	-3.0072768
17	39	10	-3.1493394
18	540	1	-1.0730214
18	377	2	-1.8106651
18	624	3	-1.8163886
18	39	4	-1.9040058
18	101	5	-1.9750041
18	431	6	-2.5309987
18	676	7	-2.5936565
18	17	8	-3.00636
18	45	9	-3.1747787
18	597	10	-3.2358446
19	607	1	-1.1978631
19	674	2	-1.2962077
19	180	3	-1.6666255
19	101	4	-2.5361888
19	540	5	-2.5550401
19	378	6	-2.719402
19	69	7	-2.723871
19	558	8	-2.8257124
19	597	9	-3.0415103
19	941	10	-3.0454834
20	558	1	-1.7261037
20	110	2	-2.2669945
20	547	3	-2.2816691
20	379	4	-2.393169
20	393	5	-2.652328
20	243	6	-2.6628873
20	621	7	-2.7451706
20	804	8	-2.8273458
20	805	9	-2.861731
20	363	10	-2.8665335
21	532	1	-1.1012404
21	69	2	-1.2851943
21	864	3	-1.4094092
21	415	4	-1.8549529
21	180	5	-1.8715615
21	377	6	-1.8775859
21	431	7	-1.9845123
21	597	8	-2.0580175
21	674	9	-2.0663023
21	101	10	-2.1399968
22	39	1	-1.9039812
22	674	2	-2.2500393
22	164	3	-2.629799
22	431	4	-2.753573
22	682	5	-2.869937
22	90	6	-2.9083045
22	555	7	-3.0755866
22	695	8	-3.1199892
22	676	9	-3.213355
22	716	10	-3.2833369
23	431	1	-1.4247851
23	676	2	-2.1348982
23	149	3	-2.6846886
23	164	4	-2.6962812
23	356	5	-3.030404
23	48	6	-3.0443466
23	90	7	-3.1296897
23	657	8	-3.5269313
23	547	9	-3.5645413
23	39	10	-3.605269
24	334	1	-1.1534375
24	244	2	-2.157965
24	69	3	-2.2179575
24	941	4	-2.3104472
24	65	5	-2.4247267
24	984	6	-2.4250407
24	51	7	-2.4488325
24	192	8	-2.8271441
24	367	9	-2.9126182
24	101	10	-2.9189217
25	246	1	-0.9197997
25	51	2	-1.3796947
25	953	3	-1.451035
25	424	4	-1.4856019
25	804	5	-1.6945616
25	593	6	-1.7086309
25	371	7	-2.108398
25	984	8	-2.1819406
25	916	9	-2.2077088
25	454	10	-2.3696578
26	378	1	-1.8570857
26	699	2	-1.9946605
26	558	3	-2.0881903
26	669	4	-2.3274872
26	13	5	-3.1321435
26	804	6	-3.2066092
26	356	7	-3.3227558
26	76	8	-3.4191847
26	415	9	-3.4979918
26	621	10	-3.521391
27	51	1	-1.128082
27	200	2	-1.6725667
27	770	3	-1.9285029
27	805	4	-2.17795
27	190	5	-2.2010696
27	984	6	-2.2752964
27	555	7	-2.2918105
27	255	8	-2.3344254
27	978	9	-2.3377342
27	67	10	-2.5559726
28	246	1	-1.3569076
28	415	2	-1.5030104
28	17	3	-2.135957
28	676	4	-2.2845316
28	431	5	-2.3195474
28	367	6	-2.421585
28	947	7	-2.6037004
28	953	8	-2.6799488
28	357	9	-2.689538
28	695	10	-3.0901828
29	378	1	-1.2776966
29	40	2	-1.5901371
29	976	3	-1.9027848
29	415	4	-2.0939338
29	914	5	-2.397911
29	597	6	-2.5353565
29	339	7	-2.5720596
29	323	8	-2.7160463
29	770	9	-2.805138
29	590	10	-2.8123527
30	669	1	-1.3590755
30	17	2	-1.8701562
30	597	3	-2.0254197
30	699	4	-2.5029287
30	431	5	-3.0305133
30	558	6	-3.3739853
30	953	7	-3.405581
30	39	8	-3.5445514
30	356	9	-3.9704988
30	914	10	-3.9969957
31	669	1	-1.9896319
31	555	2	-2.4179482
31	558	3	-2.444711
31	621	4	-2.8266993
31	953	5	-3.1696272
31	941	6	-3.258244
31	676	7	-3.3774064
31	804	8	-3.4306307
31	695	9	-3.5503044
31	406	10	-3.7029004
32	39	1	0.17668906
32	916	2	-1.5921524
32	246	3	-1.8520923
32	378	4	-2.119244
32	51	5	-2.364945
32	597	6	-2.6378756
32	555	7	-2.6905985
32	699	8	-2.7742205
32	357	9	-2.9089987
32	941	10	-2.974108
33	624	1	-0.23199695
33	246	2	-1.0362867
33	674	3	-1.4955473
33	669	4	-1.6623328
33	90	5	-2.2143874
33	39	6	-2.6122646
33	555	7	-2.6507456
33	941	8	-2.689129
33	695	9	-2.8752162
33	804	10	-2.961433
34	597	1	-0.5300481
34	51	2	-0.5545611
34	180	3	-0.9269004
34	540	4	-1.1532904
34	377	5	-1.199594
34	415	6	-1.533081
34	882	7	-1.579467
34	408	8	-1.6680641
34	101	9	-1.8567109
34	406	10	-1.9359267
35	976	1	-1.2541168
35	65	2	-1.4911788
35	674	3	-1.5189483
35	101	4	-1.611921
35	699	5	-1.7901697
35	69	6	-1.8139471
35	431	7	-1.9281254
35	980	8	-1.9473197
35	540	9	-2.249673
35	957	10	-2.2943423
36	415	1	-1.5246549
36	378	2	-1.6408424
36	699	3	-2.2106094
36	785	4	-2.8587403
36	356	5	-2.874783
36	954	6	-2.9171696
36	961	7	-2.982999
36	532	8	-3.003866
36	941	9	-3.0967016
36	164	10	-3.22078
37	246	1	-0.158544
37	17	2	-0.81025255
37	367	3	-1.0368567
37	674	4	-1.4936693
37	406	5	-2.3363066
37	431	6	-2.3830051
37	669	7	-2.510785
37	378	8	-2.5866337
37	76	9	-2.6176784
37	953	10	-2.87635
38	51	1	-1.0979091
38	804	2	-1.225956
38	339	3	-1.2700361
38	356	4	-1.3516192
38	284	5	-1.3519588
38	603	6	-1.6463686
38	961	7	-1.8343191
38	164	8	-1.8898447
38	984	9	-1.9191663
38	913	10	-2.2765543
39	101	1	-1.6143746
39	415	2	-2.068885
39	699	3	-2.2576618
39	378	4	-2.6797357
39	148	5	-3.2355483
39	431	6	-3.2521706
39	244	7	-3.254052
39	621	8	-3.354439
39	947	9	-3.4233766
39	39	10	-3.5291834
